station_key,n,dynamic_eligible,nse,r,rmse,logrmse,bias,observed_sd,predicted_sd
三溪桥,12,True,-0.2793042361648992,0.21337296104288997,0.5097206500532784,0.18351326814566066,0.22083750219493506,0.4506561574218444,0.22731155174679
东江江口,12,True,-1.28685035270145,-0.5340678702712771,0.9581946914425351,0.3468617518254443,-0.6635495134308244,0.6336287688123595,0.09848454100858621
兴宁电站,12,True,-9.82143122579867,0.4905770319916922,1.50624472631477,0.5449025266363529,-1.4486944155778285,0.4578815955632586,0.12041948914191068
北江石尾,12,True,-6.197559557962201,-0.501599354347483,0.8838976732607697,0.32019069000102707,-0.7545683473454875,0.32946505462980774,0.19621692013354913
十里亭,12,True,-3.8554067827861376,-0.2568512178095576,0.876679565281175,0.335505125183875,0.704852011566708,0.3978579799654925,0.2498076883915452
古市,4,False,,,0.5763908492852211,0.26715362529802017,0.41565184417112233,0.277398630133604,0.16626763058143235
官渡,4,False,,,2.1607654137381687,0.7557979628167445,-2.1158982444317673,0.475683718451662,0.10117027645208178
庙咀里,12,True,-15.250340016623039,-0.11267560107863457,1.1434488505558358,0.5276091626592545,-1.103544066192624,0.28365178182647355,0.06917747187767681
新坪山桥,4,False,,,0.5385632816049619,0.2377628127622065,0.4540208874374406,0.3350746185553301,0.22505385214120097
滃江大站,12,True,-15.914547552447917,0.6007370147026417,2.2205779631377656,0.7583638657679925,-2.16866112989412,0.5399279787362591,0.1204940893483987
石角,12,True,-5.882202766438326,-0.6393472610717151,0.4927118054995589,0.1826144897261091,-0.34769293569677934,0.18781455096864977,0.19775636251982115
连江西牛,12,True,-0.8662372750817928,-0.49925655972002897,0.6368231527356203,0.24541306927832168,0.1158963761146396,0.46616043971529325,0.24577565033603627
长坝,12,True,-0.47338350432709086,-0.47122732414499424,0.5160047120828334,0.20893790016903402,-0.09239906343604253,0.42510456230072263,0.14193317843786704
马头福水,4,False,,,0.3642843840827052,0.16854917450222023,0.12928598893751808,0.2845171348091359,0.15382903211819005
高桥,12,True,-0.7728741820627449,-0.3254140221561818,0.49021237308752147,0.1849694437756672,-0.1313399719743363,0.3681673834307192,0.19935525602141782
龙川城铁路桥,12,True,-3.880634612011905,0.08145943067367029,1.3832601846198624,0.5029692477046707,-1.2344066567326142,0.6261317530857402,0.0654754885038686
龙归,4,False,,,0.58937038040397,0.2975870802770804,-0.4278692357908888,0.365991803186902,0.04232959349827997
